,Scenario,Algorithm,mean,std
0,Random,CGA-PPO,714.5508219401041,90.04823891801931
1,Random,XYZ-PPO,770.3149719238281,153.02435530967642
2,Static,Max-Elevation,1915.8936767578125,0.0
